ALID,ALCD,ALED,ALTX,CEIDSet,CEIDClear,AlarmLevel,AGVAlarmCode
601618,2,80,,1601618,2601618,0,200460
601619,2,80,,1601619,2601619,0,200461
601620,2,80,,1601620,2601620,0,200462
601621,2,80,,1601621,2601621,0,200463
601622,2,80,,1601622,2601622,0,200464
601623,2,80,,1601623,2601623,0,200465
601624,2,80,,1601624,2601624,0,200466
601625,2,80,,1601625,2601625,0,200467
601626,2,80,,1601626,2601626,0,200468
601627,2,80,,1601627,2601627,0,200469
601628,2,80,,1601628,2601628,0,200470
601629,2,80,,1601629,2601629,0,200471
601630,2,80,,1601630,2601630,0,200472
601631,2,80,,1601631,2601631,0,200473
601632,2,80,,1601632,2601632,0,200474
601633,2,80,,1601633,2601633,0,200475
601634,2,80,,1601634,2601634,0,200476
601635,2,80,,1601635,2601635,0,200477
601636,2,80,,1601636,2601636,0,200478
601637,2,80,,1601637,2601637,0,200479
601638,2,80,,1601638,2601638,0,200480
601639,2,80,,1601639,2601639,0,200481
601640,2,80,,1601640,2601640,0,200482
601641,2,80,,1601641,2601641,0,200483
601642,2,80,,1601642,2601642,0,200484
601643,2,80,,1601643,2601643,0,200485
601644,2,80,,1601644,2601644,0,200486
601645,2,80,,1601645,2601645,0,200487
601646,2,80,,1601646,2601646,0,200488
601647,2,80,,1601647,2601647,0,200489
601648,2,80,,1601648,2601648,0,200490
601649,2,80,,1601649,2601649,0,200491
601650,2,80,,1601650,2601650,0,200492
601651,2,80,,1601651,2601651,0,200493
601652,2,80,,1601652,2601652,0,200494
601653,2,80,,1601653,2601653,0,200495
601654,2,80,,1601654,2601654,0,200496
601655,2,80,,1601655,2601655,0,200497
601656,2,80,,1601656,2601656,0,200498
601657,2,80,,1601657,2601657,0,200499
601658,2,80,,1601658,2601658,0,200500
601659,2,80,,1601659,2601659,0,200501
601660,2,80,,1601660,2601660,0,200502
601661,2,80,,1601661,2601661,0,200503
601662,2,80,,1601662,2601662,0,200504
601663,2,80,,1601663,2601663,0,200505
601664,2,80,,1601664,2601664,0,200506
601665,2,80,,1601665,2601665,0,200507
601666,2,80,,1601666,2601666,0,200508
601667,2,80,,1601667,2601667,0,200509
601668,2,80,,1601668,2601668,0,200510
601669,2,80,,1601669,2601669,0,200511
601670,2,80,,1601670,2601670,0,200512
601671,2,80,,1601671,2601671,0,200513
601672,2,80,,1601672,2601672,0,200514
601673,2,80,,1601673,2601673,0,200515
601674,2,80,,1601674,2601674,0,200516
601675,2,80,,1601675,2601675,0,200517
601676,2,80,,1601676,2601676,0,200518
601677,2,80,,1601677,2601677,0,200519
601678,2,80,,1601678,2601678,0,200520
601679,2,80,,1601679,2601679,0,200521
601680,2,80,,1601680,2601680,0,200522
601681,2,80,,1601681,2601681,0,200523
601682,2,80,,1601682,2601682,0,200524
601683,2,80,,1601683,2601683,0,200525
601684,2,80,,1601684,2601684,0,200526
601685,2,80,,1601685,2601685,0,200527
601686,2,80,,1601686,2601686,0,200528
601687,2,80,,1601687,2601687,0,200529
601688,2,80,,1601688,2601688,0,200530
601689,2,80,,1601689,2601689,0,200531
601690,2,80,,1601690,2601690,0,200532
601691,2,80,,1601691,2601691,0,200533
601692,2,80,,1601692,2601692,0,200534
601693,2,80,,1601693,2601693,0,200535
601694,2,80,,1601694,2601694,0,200536
601695,2,80,,1601695,2601695,0,200537
601696,2,80,,1601696,2601696,0,200538
601697,2,80,,1601697,2601697,0,200539
601698,2,80,,1601698,2601698,0,200540
601699,2,80,,1601699,2601699,0,200541
601700,2,80,,1601700,2601700,0,200542
601701,2,80,,1601701,2601701,0,200543
601702,2,80,,1601702,2601702,0,200544
601703,2,80,,1601703,2601703,0,200545
601704,2,80,,1601704,2601704,0,200546
601705,2,80,,1601705,2601705,0,200547
601706,2,80,,1601706,2601706,0,200548
601707,2,80,,1601707,2601707,0,200549
601708,2,80,,1601708,2601708,0,200550
601709,2,80,,1601709,2601709,0,200551
601710,2,80,,1601710,2601710,0,200552
601711,2,80,,1601711,2601711,0,200553
601712,2,80,,1601712,2601712,0,200554
601713,2,80,,1601713,2601713,0,200555
601714,2,80,,1601714,2601714,0,200556
601715,2,80,,1601715,2601715,0,200557
601716,2,80,,1601716,2601716,0,200558
601717,2,80,,1601717,2601717,0,200559
601718,2,80,,1601718,2601718,0,200560
601719,2,80,,1601719,2601719,0,200561
601720,2,80,,1601720,2601720,0,200562
601721,2,80,,1601721,2601721,0,200563
601722,2,80,,1601722,2601722,0,200564
601723,2,80,,1601723,2601723,0,200565
601724,2,80,,1601724,2601724,0,200566
601725,2,80,,1601725,2601725,0,200567
601726,2,80,,1601726,2601726,0,200568
601727,2,80,,1601727,2601727,0,200569
601728,2,80,,1601728,2601728,0,200570
601729,2,80,,1601729,2601729,0,200571
601730,2,80,,1601730,2601730,0,200572
601731,2,80,,1601731,2601731,0,200573
601732,2,80,,1601732,2601732,0,200574
601733,2,80,,1601733,2601733,0,200575
601734,2,80,,1601734,2601734,0,200576
601735,2,80,,1601735,2601735,0,200577
601736,2,80,,1601736,2601736,0,200578
601737,2,80,,1601737,2601737,0,200579
601738,2,80,,1601738,2601738,0,200580
601739,2,80,,1601739,2601739,0,200581
601740,2,80,,1601740,2601740,0,200582
601741,2,80,,1601741,2601741,0,200583
601742,2,80,,1601742,2601742,0,200584
601743,2,80,,1601743,2601743,0,200585
601744,2,80,,1601744,2601744,0,200586
601745,2,80,,1601745,2601745,0,200587
601746,2,80,,1601746,2601746,0,200588
601747,2,80,,1601747,2601747,0,200589
601748,2,80,,1601748,2601748,0,200590
601749,2,80,,1601749,2601749,0,200591
601750,2,80,,1601750,2601750,0,200592
601751,2,80,,1601751,2601751,0,200593
601752,2,80,,1601752,2601752,0,200594
601753,2,80,,1601753,2601753,0,200595
601754,2,80,,1601754,2601754,0,200596
601755,2,80,,1601755,2601755,0,200597
601756,2,80,,1601756,2601756,0,200598
601757,2,80,,1601757,2601757,0,200599
601758,2,80,,1601758,2601758,0,200600
601759,2,80,,1601759,2601759,0,200601
601760,2,80,,1601760,2601760,0,200602
601761,2,80,,1601761,2601761,0,200603
601762,2,80,,1601762,2601762,0,200604
601763,2,80,,1601763,2601763,0,200605
601764,2,80,,1601764,2601764,0,200606
601765,2,80,,1601765,2601765,0,200607
601766,2,80,,1601766,2601766,0,200608
601767,2,80,,1601767,2601767,0,200609
601768,2,80,,1601768,2601768,0,200610
601769,2,80,,1601769,2601769,0,200611
601770,2,80,,1601770,2601770,0,200612
601771,2,80,,1601771,2601771,0,200613
601772,2,80,,1601772,2601772,0,200614
601773,2,80,,1601773,2601773,0,200615
601774,2,80,,1601774,2601774,0,200616
601775,2,80,,1601775,2601775,0,200617
601776,2,80,,1601776,2601776,0,200618
601777,2,80,,1601777,2601777,0,200619
601778,2,80,,1601778,2601778,0,200620
601779,2,80,,1601779,2601779,0,200621
601780,2,80,,1601780,2601780,0,200622
601781,2,80,,1601781,2601781,0,200623
601782,2,80,,1601782,2601782,0,200624
601783,2,80,,1601783,2601783,0,200625
601784,2,80,,1601784,2601784,0,200626
601785,2,80,,1601785,2601785,0,200627
601786,2,80,,1601786,2601786,0,200628
601787,2,80,,1601787,2601787,0,200629
601788,2,80,,1601788,2601788,0,200630
601789,2,80,,1601789,2601789,0,200631
601790,2,80,,1601790,2601790,0,200632
601791,2,80,,1601791,2601791,0,200633
601792,2,80,,1601792,2601792,0,200634
601793,2,80,,1601793,2601793,0,200635
601794,2,80,,1601794,2601794,0,200636
601795,2,80,,1601795,2601795,0,200637
601796,2,80,,1601796,2601796,0,200638
601797,2,80,,1601797,2601797,0,200639
601798,2,80,,1601798,2601798,0,200640
601799,2,80,,1601799,2601799,0,200641
601800,2,80,,1601800,2601800,0,200642
601801,2,80,,1601801,2601801,0,200643
601802,2,80,,1601802,2601802,0,200644
601803,2,80,,1601803,2601803,0,200645
601804,2,80,,1601804,2601804,0,200646
601805,2,80,,1601805,2601805,0,200647
601806,2,80,,1601806,2601806,0,200648
601807,2,80,,1601807,2601807,0,200649
601808,2,80,,1601808,2601808,0,200650
601809,2,80,,1601809,2601809,0,200651
601810,2,80,,1601810,2601810,0,200652
601811,2,80,,1601811,2601811,0,200653
601812,2,80,,1601812,2601812,0,200654
601813,2,80,,1601813,2601813,0,200655
601814,2,80,,1601814,2601814,0,200656
601815,2,80,,1601815,2601815,0,200657
601816,2,80,,1601816,2601816,0,200658
601817,2,80,,1601817,2601817,0,200659
601818,2,80,,1601818,2601818,0,200660
601819,2,80,,1601819,2601819,0,200661
601820,2,80,,1601820,2601820,0,200662
